Day,Date,Start Time,End Time,Category,Plan,Notes,Expected Temperature,Clothing
Thursday,2026-05-14,05:50,06:15,Travel,Board ROC to ORD,Be at gate early,AM cool / day ~94-98 F,Travel layers with hoodie
Thursday,2026-05-14,06:30,07:37,Travel,Flight ROC to ORD,Hydrate,AM cool / day ~94-98 F,Travel layers
Thursday,2026-05-14,09:22,09:57,Travel,Board ORD to LAS,Use restroom before boarding,Day ~94-98 F,Travel outfit
Thursday,2026-05-14,10:12,12:28,Travel,Flight ORD to LAS,Download entertainment,Day ~94-98 F,Travel outfit
Thursday,2026-05-14,21:00,04:00,Event,Kick-Off Party at Downtown Fremont Street,Do not overdo it before EDC Day 1,Night ~72-76 F,Comfortable party outfit and sneakers
Friday,2026-05-15,10:00,12:00,Recovery,Breakfast and recovery,Hydration and electrolytes,Day ~96-100 F,Resort wear
Friday,2026-05-15,12:00,15:00,Resort,One N Only orientation and pool,Confirm shuttles and food hours,Day ~96-100 F,Swimwear / hat / sunscreen
Friday,2026-05-15,15:00,16:30,Dining,Late lunch / pre-festival meal,Protein and carbs,Day ~96-100 F,Light resort outfit
Friday,2026-05-15,18:30,19:30,Transport,Shuttle to EDC,Leave early,Night ~74-78 F,Light festival outfit
Friday,2026-05-15,20:00,05:30,Festival,EDC Day 1,Use VIP bathrooms and viewing,Night ~74-78 F,Breathable rave fit and sneakers
Saturday,2026-05-16,11:00,12:00,Dining,Brunch,Recovery meal,Day ~98-102 F,Resort wear
Saturday,2026-05-16,12:30,14:30,Resort,Pool / resort event,Keep alcohol light,Day ~98-102 F,Swimwear and sandals
Saturday,2026-05-16,14:30,16:00,Recovery,Nap and recharge devices,Mandatory reset,Day ~98-102 F,Comfortable room clothes
Saturday,2026-05-16,16:00,17:00,Dining,Early dinner,Largest pre-festival meal,Day ~98-102 F,Light outfit
Saturday,2026-05-16,18:30,19:30,Transport,Shuttle to EDC,Bring blister pads,Night ~75-79 F,Comfortable festival fit
Saturday,2026-05-16,20:00,05:30,Festival,EDC Day 2,Prioritize progressive / big-room / trance acts,Night ~75-79 F,Breathable outfit and broken-in sneakers
Sunday,2026-05-17,11:30,12:30,Dining,Late breakfast / brunch,Hydration focus,Day ~99-103 F,Resort wear
Sunday,2026-05-17,13:00,15:00,Resort,Low-energy resort time,Stay shaded,Day ~99-103 F,Swimwear / loose shirt
Sunday,2026-05-17,15:00,16:00,Prep,Partial packing,Make Monday easier,Day ~99-103 F,Room clothes
Sunday,2026-05-17,16:00,17:00,Dining,Early dinner,Eat enough for final night,Day ~99-103 F,Light outfit
Sunday,2026-05-17,18:30,19:30,Transport,Shuttle to EDC,Final night traffic buffer,Night ~76-80 F,Most comfortable festival outfit
Sunday,2026-05-17,20:00,05:30,Festival,EDC Day 3,Use VIP to pace yourself,Night ~76-80 F,Comfortable shoes no new footwear
Monday,2026-05-18,09:00,11:00,Recovery,Breakfast and checkout prep,Check flight and checkout,Day ~96-101 F,Comfortable travel outfit
Monday,2026-05-18,11:00,12:00,Travel,Final room sweep,Check safe chargers wallet ID,Day ~96-101 F,Travel outfit with hoodie
